id,sentence,dialect
386,ખૂબ સરસ બના વોછે,charotari
387,મોડએ ભવનાથ પોલીસમાં ફરિયાદ નોંધાવી છે,kathiawari
388,"ક્ષ      દેશની સૌથી મોટી અને આધુનિક લાઇબ્રેરી નવી બિરસા મુંડા લાઇબ્રેરી કરોડના ખર્ચે દેશની સૌથી મોટી અને અત્યાધુનિક નમો સેન્ટ્રલ
લાઇબ્રેરી સ્થપાશે",kathiawari
389,"આ પ્રથમ વખત નથી જ્યારે ટોમ કૂપરે આ મુદ્દે પોતાનો મત વ્યક્ત
કર્યો હોય",kathiawari
390,❤જોરદાર જોરદાર...👌🏼 લવ ફ્રોમ વલસાડ,surti
391,અમદાવાદ જિલ્લાના ઐતિહાસિક ધોળકા શહેરના હાર્દ ગણાતા જૂનું બસ સ્ટેન્ડ વિસ્તારમાં હાલ ટ્રાફિકની વિકટ સમસ્યા જોવા મળી રહી છે,standard_gujarati
392,રાજા.રણછોડ. તમારી.ટીમ.ની.બધી.મનોકામના પરિપૂર્ણ. કરે,charotari
393,ત્યારે કોર્પોરેશને ચાર-પાંચ દિવસની મહેલત આપવાની વિનંતી કરી હતી અને કહ્યું હતું કે કોર્પોરેશન શક્ય હોય તો વેન્ડર્સને કઇ રીતે રિલોકેટ કરી શકે એની ચકાસણી કરવા સમય આપો,standard_gujarati
394,"તાજેતરમાં હોર્મુઝ જળસંધિ વિસ્તારમાં
ઇરાની રેવોલ્યુશનરી ગાર્ડ્સે પણ સૈન્ય અભ્યાસ કર્યો હતો",kathiawari
395,"સૌરાષ્ટ્રમાં ય રાજકોટ સિવાય અલગ અલગ ઢબ છે. ભાવનગર, જામનગર, જૂનાગઢ!",charotari
396,ઉભાઉભાખાયમાણસોએકળિયુગનીએધાણીછે,charotari
397,2 પાર્ટ નાખજો ભાઈ 🤣🤣🤣,surti
398,આ સ્વાભિમાન પર્વ સાથે પ્રત્યેક ગુજરાતી ગુજરાતના ગતિમાન વિકાસનું ગર્વ લઈ શકે તેવું સર્વ સમાવેશી બજેટ આપવા માટે નાણાંમંત્રી અને તેમની સમગ્ર ટીમને અભિનંદન આપું છું,standard_gujarati
399,ગોંધીનગર સાબરકાંઠોની ભાષા છે પ્રભુ.,charotari
400,હિંદી બોલતા નથી આવડતું 😂😂😂😂,surti
401,"જો કે એપ્રિલ 2025માં પહલગામ આતંકવાદી હુમલા પછી ભારતે
પાણીનો શત્ર તરીકે ઉપયોગ શરૂ કરી દીધો છે અને ભારત હવે પશ્ચિમી નદીઓ એટલે કે, સિંધુ,
જેલમ અને ચિનાબનાં પાણીનો પણ મહત્તમ ઉપયોગ કરવાનાં વિકલ્પો તપાસી રહ્યું છે",kathiawari
402,42% જોનારા subscribe કરે છે અને58% એમનેમ જુએ છે,charotari
403,સૌરાષ્ટ્ર માં કાઠીયાવાડી બોલી બોલિયા છે,charotari
404,નાયબ પોલીસ અધિક્ષક તપન ડોડીયાના માર્ગદર્શન હેઠળ પો,standard_gujarati
405,મારે આ ભાભી જ નહીં ચાલે ઉઠાવ ભંગાર ના ભાવે,surti
406,ભાઈ ભાઈ મારું ગરવી ગુજરાત ગર્વ છે ગુજરાતી હોવા પર,surti
407,મારા ભાઈ માયા ભાઈ આ મહેસાણી ભાષા નથી પણ મજાક છે વિચારી ગોખી ને બોલો મારા ભાઈ,charotari
408,"દરમિયાન અમેરિકાએ માત્ર
24 કલાકમાં 50થી વધુ ફાઇટર જેટ પણ રવાના કરી દીધા હોવાનું જાણવા મળે છે",kathiawari
409,જેના પ્રત્યુત્તરમાં ચીફ ઓફિસર દ્વારા જ્યાં સુધી લાઈન રીપેરીંગ ન થાય ત્યાં સુધી બે ટાઈમ ટેન્કરથી પાણી પહોંચાડવા પાણી ખાતાને કડક સૂચના આપવામાં આવી છે,standard_gujarati
410,ભાઈ સુરત થી છે ❤,surti
411,વાહ ભાઈ વાહ સરસ 👍 ધીરુભાઇ,surti
412,"આફ્રિકા તરફથી કોબિન
બોશની 3 વિકેટ ઉપરાંત એનરિક નોર્ખિયાને 2 વિકેટ મળી હતી",kathiawari
413,જન્મદિવસની સ્વસ્થ સતાયુ શુભેચ્છાઓ,charotari
414,જય ભોલેનાથ દાદા,kathiawari
415,બેન વિડીયો તો ઘણા જોયા પણ જે તમે વિડીયો બનાવો છો ને ઈ રીયલ લાગે છે,charotari
416,🌾જય જૉહાર 🙏કરન ભાઈ song મા કંઈ આવે કે ના આવે પણ મારા આદિવાસી ભાઈ તો આવેજ 🏹જય આદિવાસી🏹,surti
417,શું એસટી નિગમ અને સરકાર કોઈ માસૂમનો જીવ જાય તેની રાહ જોઈ રહ્યું છે,standard_gujarati
418,ભાઈ કાઈ રાજા વિશે બનાવો ને,surti
419,"કાલ કોક એપિસોડમા એવુ બતાવે કે જેઠાલાલ ગુજરી ગ્યો તો પણ નેક્સટ એપિસોડ વખતે તારક મેહતા બોલ્સે ""जो भी होगा ठहाको के साथ होगा देखते रहिये ह्स्ते रहिये""",surti
420,વાહ વાહ વાહ ભાઈ વાહ ❤❤❤,surti
421,કિશનાબેને ગર્ભસંસ્કાર અને ભારતીય સંસ્કૃતિના મહત્ત્વ પર પ્રકાશ પાડ્યો,standard_gujarati
422,વન વિભાગે દીપડાના મૃતદેહને કાયદેસરની કાર્યવાહી પૂર્ણ કરી પોસ્ટમોર્ટમ અર્થે અમદાવાદ મોકલી આપ્યો છે,standard_gujarati
423,મ્યુનિસિપલ કોર્પોરેશનના કમિશ્નર કે તેના અધિકારીઓ કોર્ટ સમક્ષ કેઝ્યુઅલ સ્ટેટમેન્ટ્સ આપી શકે નહીં,standard_gujarati
424,જબ્બર લીરિક્સ છે બ્રો. .....❤,surti
425,જય શ્રી કષ્ટભંજન દેવ હનુમાનજી 🙏,charotari
426,જ્યારે ટપુ પેદા નોતો થયો ત્યારે દયા જેઠાલાલ ને કયા નામથી બોલાવતી હશે....😂😂,surti
427,🙏 બસમાં સીસીટીવી હોય તો પેસેન્જર નો ભૂલાયેલો સામાન તેમના ઘર સુધી પહોંચાડી શકાય.🙏 🙏 - શાર્દુલ કાન્તિભાઈ પટેલ,surti
428,તમારે તબક્કાવાર પેમેન્ટ કરવાનું રહેશે,standard_gujarati
429,નમસ્કાર! જલેબી ફાફડા ચાલશે 😂..🎉,surti
430,આ કાર્યક્રમમાં ૨૦૦૦થી વધુ નાગરિકો હાજર રહ્યા હતા,standard_gujarati
431,"67 વર્ષના ઇતિહાસમાં તે પહેલીવાર
રણજી ટ્રોફી ફાઇનલમાં પહોંચી છે",kathiawari
432,આ કલાકાર તો સ્ટેજ પર રજૂ કરે છે આજે રામાયણ આપડે પરિવાર ને સંભાળવાની છે,charotari
433,મીરા મન ખુલીને હસી રહી છે,surti
434,સ્ટબ્સ 6 અને સ્મિથ 3 રને નોટઆઉટ રહ્યા હતા,kathiawari
435,બબીતા અને જેઠાલાલ નો લવ ઊપર એક વીડિયો ભાઈ.. કોઈ દિ સેટિંગ નથી થયું 😁😁,surti
436,એ કોડા આ મેહસાણા ની ભાષા છેજ નઈ કોડા ફેંકવાનું બંધ કર,charotari
437,"દેશમાં ડેટા અને પ્રતિભાની કોઈ કમી નથી પણ સરકાર તેનો ઉપયોગ કરવાનાં બદલે માત્ર
આયોજનનાં દેખાડામાં પડી છે",kathiawari
438,ભાઇ મેહોણા તો મેહોણા,charotari
439,"મોજ ધીરુભાઇ મોજ ધીરુભાઇ તમને મારા મેરેજમાં પ્રોગ્રામમાં બોલાવવા છે. તમારો કોન્ટેક્ટ કેમ કરવો. Mukesh Kumar Kukadiya From ; Barwala, Jasdan, Rajkot, Gujarat",surti
440,ભાઈ ગુજરાત ની દારૂ બંદી પર એક વિડ્યો બનાવો ને મસ્ત ટોપિક છે...,surti
441,"શટલિયા રિક્ષાઓ અને આડેધડ પાર્ક કરેલી બાઈકોને કારણે એમ્બ્યુલન્સ જેવા ઇમરજન્સી વાહનો ને પણ ટ્રાફિક નો સામનો કરવો પડતો હોય છે, જે કોઈ મોટી જાનહાનિનું કારણ બની શકે છે",standard_gujarati
442,થોડી....તો હોવી જોઇએ... ગાળો...,surti
443,પ્રેક્ટિકલ આપવા સ્કૂલમાં જવું પડશે,standard_gujarati
444,એટલે બે પેજ જેવું એમાં આન્સર લખવાના આવશે,standard_gujarati
445,ગટર લાઈન નાખવાની કામગીરીને પગલે વાહનચાલકો માટે સૂચનાઓ આજથી શહેરના કપુરાઈ જંક્શન પર કામગીરી શરૂ કરવામાં આવી છે,standard_gujarati
446,"12 લાખ 26 હજારની છેતરાપિંડી કરવા અંગે
સિક્કા પંચવટી સોસાયટીમાં રહેતા કાસમ દાઉદભાઈ કકલ સામે ફરિયાદ નોંધાવી છે",kathiawari
447,"કૂપરે ભારપૂર્વક કહ્યું
હતું કે તેમની પાસે આ દાવાને
સમર્થન આપતા પૂરતાં પુરાવા પણ છે",kathiawari
448,માયાભાઈ તમે મહેસાણા ની ભાષા જે બોલો છો ને વાઘરીઓ બોલે એવી ભાષા બોલો 0 હસલ મહેસાણી ભાષા તમને આવડતી જ નહીં,charotari
449,કડાણા ડેમ ખાતે ફ્લાટિંગ સોલર પ્રોજેક્ટ માટે રૂ,kathiawari
450,જય સદગુરૂ મહારાજ,charotari
451,વાહ તેજલબેન જોરદાર,charotari
452,"હાર્દિક-શિવમ-રિંકુ અને અક્ષરની હાજરીથી ભારતીય ટીમને બેટિંગ ઊંડાઈ
ઘણી સારી બની છે",kathiawari
453,હાલમાં પણ સરકાર દર મહિને હજારો કરોડનું વ્યાજ પણ ચૂકવી રહી છે,standard_gujarati
454,દાદા મોજ અપાવી દીધી🙌 સીધા ગુજરાત થી ડાંગી 😎રેપર નો પ્રેમ💔,surti
455,ગુજરાતી હવામાન ગર્વ કોણે કોણે છે😊😊,surti
456,મને મજા અાવી પડી નથી,charotari
457,આપડો ગુજરાતી બધી જગ્યા યે બૂમ પડાવે હો ❤,surti
458,એક નંબર ભાઈ કોઈ નેની ગાંઠે❤❤❤🎉,surti
459,એક જ ગીતા માં આખું ગુજરાત દેખાઈ ગયું . From Dakor . જય રણછોડ,surti
460,પોસ્ટમોર્ટમ રિપોર્ટ આવ્યા બાદ જ દીપડાનું મોત કુદરતી કારણોસર થયું છે કે અકસ્માતજન્ય છે અથવા અન્ય કોઈ પરિબળ જવાબદાર છે તે અંગે સ્પષ્ટતા થશે,standard_gujarati
461,કેમ છો બધા મજા માં 🤝💐,charotari
462,તમને રોજે સંભાળુ શુ,charotari
463,તમારો આ ભાર આદિવાસીને ગતિમાં લેવા માટે સુંદર છે. ગીત,surti
464,વિડિયો બનાવનાર ભાષા ઓળખી શકતા નથી આ ઈડર મલક અટલે સાબરકાંઠા જિલ્લા ની ભાષા છે,charotari
465,વાહ ધીરૂભાઇ be વાહ,surti
466,"સેમિમાં
બંગાળ સામે 6 વિકેટે યાદગાર વિજય કલ્યાણી
(પ",kathiawari
467,આઉદિચ્ય બ્રાહ્મણ 🤭😍,charotari
468,બરોડા ક્રિકેટ એસોસિએશનના પ્રતિનિધિ ભારતીય ક્રિકેટ કંટ્રોલ બોર્ડમાં પણ હોય છે,standard_gujarati
469,પહેલા તો આ અમારી મહેસાણા જિલ્લાની ભાષા જ નથી.... બિજુ ઘમૅ ની મજાક ઉડાવિને .. ઘંઘા બંધ કરો,charotari
470,"તેનો નિકાલ પણ વૈજ્ઞાનિક
ઢબે થતો નથી",kathiawari
471,"પોલીસ કમિશનરની સૂચનાથી એસઓજી (જઘઋ)ની ટીમે બાતમીના
આધારે શહેરના આજીડેમ ચોકડી અને કોઠારીયા સોલવન્ટ વિસ્તારમાં દરોડા પાડી ચાર બાંગ્લાદેશી
મહિલાઓને ઝડપી પાડી છે",kathiawari
472,એ ટાઉન વેન્ડિંગ કમિટીની ભલામણ અને પ્લાનિંગ ઓથોરિટી સાથે પરામર્શ બાદ રિ-સરવે કરી શકે છે,standard_gujarati
473,તુ.ખોટ.છે.ભાઇ.વાત.વગર.નિ.વાત.કરે.છે,kathiawari
474,ઐયો ની યોર્ક થી બીજો સબસ્ક્રાઈબર :),surti
475,અમે વિદ્યાર્થીના ભાઈ તરીકે ઓળખાણ આપી અને પરીક્ષાની પૂછપરછ માટે આવ્યા હોવાનું કહ્યું,standard_gujarati
476,હા ગુજરાતી ની મોજ હા,surti
477,"મને કેવી રીતે ખબર પડી ખબર સે ભાઈ,મુ જ્યારે pubg રમતો હતો ત્યારે મારી જોડે રેન્ડમ player રમવા આયા હતા તો તે પણ તારા જેવીજ બોલી બોલતા હતા ભાઇ 😉",surti
478,હા સાંઈરામ  દવે ની મોજ હા....,kathiawari
479,સાચી વાત છે ભાઈ,charotari
480,રામાયણની કાપવા વાળુ એક પેદા થયુ,charotari
481,"બનાવ અંગે મૃતકના પત્ની દેવીબેન
ગીગાભાઈએ પોલીસને જાણ કરતાં જામજોધપુરના પોલીસ બનાવના સ્થળે અને ત્યારબાદ હોસ્પિટલમાં
દોડી ગઈ હતી અને ગીગાભાઈના મૃતદેહનો કબજો સંભાળી વધુ તપાસ હાથ ધરી હતી",kathiawari
482,ગર્વ છે ગુજરાતી ભાષા પ્રત્યે 🔥🔥🔥🤩,surti
483,તેમજ પાસ થવાનું ગેરંટી પણ આપવામાં આવી હતી,standard_gujarati
484,તારો અવાજ. કાઢ. બીજા ના અવાજ. ની પથારી ફેરવમા ભાઈ. હાસ્ય કલાકાર. દીપક. ચૌહાણ.,charotari
485,ગુજરાતી એ બુમ પાડી...🤘🙋,surti
486,દરેક એડવોકેટ સભ્ય માટે અલગ મોબાઈલ એપ ઉપલબ્ધ કરાવાશે,standard_gujarati
487,વા વા મોજ‌ કરી દીધી😯🥳🥳🥳,surti
488,"કેમેરાવાળાં
ચશ્માં પહેર્યા’તા : રાષ્ટ્રીય સુરક્ષા સંબંધિત ગુનો નોંધવા તજવીજ પેરિસ,
તા",kathiawari
489,"સોમનાથને ગ્લોબલ ડેસ્ટિનેશન તરીકે વિકસાવવા જાહેરાત થઇ છે તે સ્થાનિક લોકોને રોજગારી
આપશે",kathiawari
490,માયા ની માયા મોય ગઇ મારો રામ,charotari
491,"આ રસ્તો સીધો રિંગ રોડ અને ખોખળદડી
નદીના પુલના છેડાને મળી જતો",kathiawari
492,આ લોકો ને ધર્મ ઉપર મજાક કરતા જરા પણ શરમ નહિ આવતી 😢😢,charotari
493,"જય માતાજી 🙏🙏🙏
વિડિયો બવ સારો સ ભઈ👌",surti
494,સુરત નો સુપર સ્ટાર એટલે એક નામ - કરણ ❤✨️,surti
495,"એ ઉપરાંત દરેક પ્રદેશો માટે
ઇકોનોમિક માસ્ટર પ્લાન પણ બનાવવામાં આવ્યા છે",kathiawari
496,આનંદપ્રિયદાસજી સ્વામીએ ઉત્સાહપૂર્વક અભ્યાસ કરીને શાસ્ત્રીની પદવી મેળવી,standard_gujarati
497,તમે તેમને પરત બેસવા દેવા સર્વેની શરત મૂકી શકો નહીં,standard_gujarati
498,ઁ      ગુજરાત નેવલ યુનિટ ભાવનગર ખાતે બોટ હાઉસના નિર્માણ માટે જોગવાઇ,kathiawari
499,બોર્ડની પરીક્ષા પૂર્વે તમામ સ્કૂલોનું ચેકિંગ પોલીસ દ્રારા કરવામાં આવશે અને બંદોબસ્ત પણ ગોઠવી દેવાશે,standard_gujarati
500,હા મોજ મસ્તી હા ધીરૂભાઇ સરવૈયા તમારી મોજ મસ્તી હા જય હો સંતવાણી ભજન સંતવાણી લૉકસાહિતય કાર નો જય હો 🙏🙏🙏👍🏼👍🏼👍🏼🎺🎺🎺🇮🇳🇮🇳🇮🇳,surti
501,Hukeykaran ❤ વાગે વાગે હોં ગુજરાતી દાહોદ માં વાયગો....,surti
502,"જમ્મુ-કાશ્મીર ટીમ
સામે 126 રનનું સામાન્ય વિજય લક્ષ્યાંક હતું",kathiawari
503,"તેણીના નામે 23 વન ડે ઇનિંગમાં
1110 રન છે",kathiawari
504,"આ બંને રૂમમાં બેઠા હતા ત્યારે યુવતીની માતા દક્ષાબેન જાગી જતા અને બન્નેને રૂમમાં
જોઈ જતા ઠપકો આપ્યો હતો, અને આ અંગે યુવતીના પિતાને સવારે જાણ કરવાનું કહ્યું હતું",kathiawari
505,"અમેરિકી
નેતાઓનાં નિવેદનો પરથી સ્પષ્ટ થાય છે કે, ઇરાનના પરમાણુ કાર્યક્રમ પર ચાલી રહેલી વાતચીત
હજુ નાજુક દોરમાં છે",kathiawari
506,❤❤ ખરેખર સાચી વાત છે ભાઇ બધી ભાષાઓ માં આનંદ છે ભાઇ આનંદ છે ❤❤❤❤❤❤❤❤,charotari
507,જય ગરવી ગુજરાત ❤,surti
508,"સુધારેલાં  બિયારણની મીનીકીટ પૂરી પાડવા અને ચાફકટરની ખરીદી
પર સહાય આપવા રૂ",kathiawari
509,અહેવાલ પ્રસિદ્ધ થતાં જ સરદાર સરોવર નર્મદા નિગમનું તંત્ર હરકતમાં આવ્યું અને સ્થળ પર અધિકારીઓ સાથે કર્મચારીઓની ટીમ મોકલી તાત્કાલિક સફાઈ કામગીરી શરૂ કરાઈ,standard_gujarati
510,ભાઈ ટિકટોક ના રનડવા ઉપર બનાવો ... ગેલ ચોદયા ગાંડ વગરના લોટા જેવાનો ત્રાસ થઈ ગયો છે,surti
511,આટલી અધધ ફી લેવા પાછળનું કારણ સમજવાતા ફોન પર વાત કરનાર મહિલાએ વિદ્યાર્થીને પરીક્ષામાં સેટિંગ કરાવી આપવાની અને ગેરંટી સાથે પાસ કરાવી દેવાનો દાવો કર્યો,standard_gujarati
512,હા શ્રીધાત ભાઈ ની મોજ હા મજા આવીગઈ હો સુપર સુપર😊😊😊😊😊😊😊,charotari
513,"આ રિબેટને કારણે હવે ઇલેક્ટ્રિક વાહન ખરીદનારાઓએ માત્ર ટકા લેખે
જ વેરો ભરવાનો રહેશે",kathiawari
514,કાઠિયાવાડી બોલ્યું કે નય...😅😅,charotari
515,મેહોણી એટલે મેહોણી હો ભઈ,charotari
516,મને બૌજ મઝા પડી અમિત ભાઈ,charotari
517,"ફૂલ એ હૃદયની શુદ્ધ ભાવનાનું, પવિત્રતાનું
અને શુદ્ધતાનું પ્રતીક છે",kathiawari
518,છેલ્લા બે દિવસથી રાજ્યના અલગ અલગ વિસ્તાર સાથોસાથ ભાવનગર શહેર જિલ્લામાં પણ વાતાવરણમાં પલ્ટો આવ્યો છે,standard_gujarati
519,સાબુદીનભાઇ વજુભાઈવાળા કેવા હતા તે તમને ખબર છે?🙏🙏🙏,charotari
520,તબાહી મચાવી દીધી ભાઈ એ ભાઈ બીજા નવા ગુજરાતી સોંગ લાવોને 🙌🏻,surti
521,"જમ્મુ-કાશ્મીરનાં
મંત્રી જાવેદ અહેમદ રાણાએ આજે જાણકારી આપતાં કહ્યું હતું કે, આ ડેમનું કામ 31 માર્ચ
સુધીમાં પૂર્ણ થઈ જવાની આશા છે",kathiawari
522,મોરારી બાપુ ની હારે રઈ ને આશંસકાર આયા,charotari
523,"હાર્મોનિયમ પર સંદીપ વ્યાસની સંગત મીઠાશ અને
સંતુલનથી ભરપૂર રહી",kathiawari
524,"વાહ,નિર્મળદાન ભારે જમાવટ",surti
525,આ ભાષા ...સુરતી ની નથી પણ...પારસી લોકો ની ભાષા છે...,surti
526,"અગાઉ
યૂએઇ ટીમના 20 ઓવરમાં 6 વિકેટે 122 રન થયા હતા",kathiawari
527,માણા જેવા જોક સંભળાવી જો,surti
528,6 મહિના નાં સોકર નો કાય ખબર ના પડે ભાઈ આવો ખોટો બફાટ કરવો રેવા દયો,charotari
529,"વાહ સાહેબ, જ્યાં પ્રેમ છે ત્યાં સમસ્યા નથી..ઇસ્ત્રી વાળો પ્રસંગ, સુલતાન ખાન અલ્લાહ માટે સારંગી વગાડ..",charotari
530,બાર ગામે બોલી બદલાય તમે મહેસાણા નું અપમાન કરી રહ્યા છો.. મોદી સાહેબ પણ મહેસાણા જિલ્લાના છે..,charotari
531,બીજા વાળા કોમેડી વિડીયો મોકલવા માટે વિનંતી,charotari
532,"ભૂજ અને હિંમતનગર
ખાતેની પશુચિકિત્સા અને પશુપાલન મહાવિદ્યાલયનાં સુદ્રઢીકરણ માટે રૂ",kathiawari
533,આ કામગીરી કામગીરી વધુ ઊંડાઈની હોવાથી જાહેર જનતાને પ્રતિબંધિત વિસ્તારમાં પ્રવેશ ન કરવા અને સુરક્ષિત અંતર જાળવવા અપીલ કરવામાં આવી છે,standard_gujarati
534,ભૂજ અને ખેડબ્રહ્મા ખાતેની કૃષિ યુનિ,kathiawari
535,ખુબજ કામ નું રમુજી સમજણ..,surti
536,અમિત ભાઈ તમારી ‌બોલવાની સટાયલ આ વિડીયો મા અલગ લાગી,charotari
537,"બીજા દાવમાં
બંગાળનો 99 રનમાં ધબડકો થયો હતો",kathiawari
538,સંયુક્ત પરિવારમાં સાથે રહેતા સાસુ અને નણંદ દ્વારા વારંવાર બોલાચાલી અને માનસિક ત્રાસ આપવામાં આવતો હોવાનો મહિલાએ આક્ષેપ કર્યો છે,standard_gujarati
539,આ ઉપરાંત તેમણે અમને મોબાઇલ પર લોકેશન પણ મોકલી આપ્યું,standard_gujarati
540,"ફર્મેન્ટેડ ઓર્ગેનિક મેન્યોર અને લિક્વિડ ફર્મેન્ટેડ ઓર્ગેનિક
મેન્યોરના ઉપયોગને પ્રોત્સાહન આપવા રૂ",kathiawari
541,જય શ્રી મહાકાળી માં..💓❣️,charotari
542,પ્રાદેશિક કનેક્ટિવિટી મજબૂત કરવા સ્ટેટ એક્સપ્રેસ-વે માટે રૂ,kathiawari
543,પોલીસે પકડાયેલા આરોપીઓ વિરુદ્ધ કાયદેસરની કાર્યવાહી હાથ ધરી છે,standard_gujarati
544,"મજાક મસ્તી માટે બરાબર છે , પણ સહેજ પણ મહેસાણી ભાષા જેવું નથી, જે એરિયા નો જે બોલવાનો લહેકો હોય એ કોઈથી પણ કોપી ના થઈ શકે, મહેસાણી ભાષા માં,  હ , અને સ , આ બે શબ્દો મહત્વના",charotari
545,"ડિવિઝન પોલીસ
મથકમાં ફરિયાદ નોંધાવતા પોલીસ દ્વારા આ મામલે વધુ તપાસ ચલાવવામાં આવી રહી છે",kathiawari
546,રવિન્દ્ર જાડેજા અને અક્ષય પટેલ એક સાથે,surti
547,આશ્રમ શાળાઓના એક લાખથી વધુ વિદ્યાર્થીઓ માટે રૂ,kathiawari
548,એટલો છું ભોળો કે દુશ્મન ને મે જાતે કાંધ દીધી 🔥🔥 ભાઈ એમ હો પણ❤❤,surti
549,"સંસદની બહાર જઇને લોકોને દેશદ્રોહી કહેવા, અપ્રગટ પુસ્તક લહેરાવવું",kathiawari
550,"લાભુ મેરાઈ નો જોક, યુરોપીયન ઇ યુરોપિયન",charotari
551,જોવો મારી ડબિંગ વિડીયો કેવી છે 😂 -,charotari
552,કેટલાક દાતાઓએ દાન આપ્યું છે અને પ્રવાહ ચાલુ પણ છે,standard_gujarati
553,ફલ જેરિ એક નંબર,surti
554,મહેસાણા માં એક વર્ષ માટે રહેવા આવો પછી મહેસાણા ની ભાષા આવડે મારા વાલા,charotari
555,"ઁ      નમો શક્તિ એકસપ્રેસ
વે તેમજ સોમનાથ દ્વારકા એક્સપ્રેસ વે પ્રોજેકટ માટે વધુ રૂ",kathiawari
556,ઈનાબાપના પૈસા આપે છે,surti
557,મૃતક બંને પિતરાઈ ભાઈઓ ખેતીના વ્યવસાય સાથે સંકળાયેલા હતા,standard_gujarati
558,"આવા લોકો કલાકાર ના કહેવાય, બહિષ્કાર થવો જોઇએ",charotari
559,વાહ ભાઈ આદિવાસી નું નામ લીધું ને દિલ ખુશ થાય ગયું ❤❤❤❤❤😢❤,surti
560,ગુજરાત માં અલગ અલગ જગ્યાએ   અલગ ભાષા બોલાય છે એમાં મહેસાણા ની ભાષા વિષે એવું બોલવું યોગ્ય નથી તમારા ભાષા તમને સારી લાગતી હોય એનો મતલબ બધાને સારી લાગે એવો અભિમાન ના કરાય ભાઈ,charotari
561,રાજકોટ વિશે બોલો,charotari
562,જય શ્રી કષ્ટભંજન દેવ,charotari
563,"સુરતી, મહેસાણી અને કાઠિયાવાડી મિક્સ",charotari
564,મહેસાણા ને તમે નહિ સમજી શકો. માયાભાઈ.,charotari
565,રળોલ ગામના પાટિયા નજીક પાછળથી આવી રહેલી એક ખાનગી બસે બાઈકને ટક્કર મારતા આ ગંભીર અકસ્માત સર્જાયો હતો,standard_gujarati
566,આ ભાષા મહેસાણા જિલ્લા ની નથી સુ હાલી નીકળી પડ્યા છો,charotari
567,"જુનાગઢ તાલુકા પોલીસમાં અજાણ્યા શખ્સો સામે પોતાની
પત્નીની હત્યા કર્યાની ફરિયાદ નોંધાવી હતી, પોલીસ પૂછપરછમાં મીનાક્ષી ગાવિંદ બામણીયા
અને તેનો પ્રેમી અમિત નાથા પરમારે હત્યાની કબૂલાત કરતા બન્નેની ધરપકડ કરી હતી",kathiawari
568,💐સરસ ધીરુભાઈ💐 જય સ્વામિનારાયણ💐,surti
569,પેવર બ્લોક હલકી કક્ષાના ઉપયોગ કરાયાના આક્ષેપો કાર્યકરો સાથે પહોંચેલા કોંગી પ્રમુખે પાલિકા તંત્ર વિરુદ્ધ ભારે સૂત્રોચાર શરૂ કર્યા હતા અને પાલિકા તંત્રના જવાબદાર અધિકારીને રૂબરૂ બોલાવવામાં આવ્યા હતા,standard_gujarati
570,"તેની
લાઇફ રોલરકોસ્ટર જેવી રહી છે",kathiawari
571,તમે બહું હલકી વાત કરી રહ્યા છો મેહસાણા માં આવી ભાષા કોઈ નથી બોલતું મેહસાણા જિલ્લો નેચરલ ટોન માં વાત કરવા વાળી પબ્લિક છે હું પણ ચારણ છું અને મેહસાણા નો જ છું કોઈ ની પ્રાદેશિકતા ની મજાક ઉડાવી ને તમે તમારી વેલ્યુ ઓછી કરી રહ્યા છો,charotari
572,એમાં એવું હોય કે પરીક્ષા આપવા એને જવું પડે,standard_gujarati
573,જય સ્વામિનારાયણ,charotari
574,એટલે નામ અને મોબાઇલ નંબર લેપટોપમાં નોંધીને થોડીવાર માટે વેઇટિંગમાં બેસાડવામાં આવ્યા,standard_gujarati
575,એકંદરે તમામ પ્રશ્નો વિદ્યાર્થીઓની વિચાર શક્તિ અને સમજણ શક્તિની કસોટી કરે તેવા પૂછાયા હતા,standard_gujarati
576,"આ ભાષા મહેસાણા ની નથી, મહેસાણા નો મજાક ના ઉડાવો",charotari
577,ને ભારે નુકસાન પહોંચાડી શકે તેમ છે,kathiawari
578,સરસ કરન ભાઇ ❤❤❤❤❤,surti
579,અમેરિકા અને પાકિસ્તાન સામે તે ઝીરોમાં આઉટ થયો છે,kathiawari
580,આકાશમાં ધુમ્મસનું પ્રમાણ વધુ રહેવા સાથે ભેજના પ્રમાણમાં પણ નોંધપાત્ર વધારો થયો છે ત્યારે આ બદલાયેલા માહોલને પગલે ધરતી પુત્રોની ચિંતામાં વધારો થયો છે,standard_gujarati
581,દિવ્ય ભાસ્કર એપ દ્વારા અમદાવાદ શહેરની દિવસભરની અપડેટ્સ આપવા અમદાવાદ ટુડે નામનું વીડિયો બુલેટિન કરી રહ્યું છે,standard_gujarati
582,"આવી મજાક મસ્તી વાળા  કલાકાર ને સ્ટેજ પર થી નીચે ઉતારવો જોઇએ..
સાંભળવા વારા ને પણ થોડીક શરમ આવવી જોઇએ..
ઘણી વખત માયા એ માફી માંગી છે..",charotari
583,આવાં કૃત્ય કાયદાની નજરે ગંભીર અપરાધની શ્રેણીમાં આવે છે,kathiawari
584,ત્યારબાદ દીપડાના મૃતદેહને પોસ્ટમોર્ટમ માટે અમદાવાદ ખસેડવામાં આવ્યો છે,standard_gujarati
